termo	frequênca
eu	3
e	3
que	3
não	2
tinha	2
nem	2
o	2
na	2
quando	1
tomei	1
posse	1
diploma	1
universitário	1
meu	1
vice	1
josé	1
alencar	1
mas	1
consciência	1
nas	1
minhas	1
lutas	1
sindicais	1
no	1
aprendizado	1
tive	1
de	1
existe	1
história	1
da	1
humanidade	1
muito	1
menos	1
existia	1
alguma	1
nação	1
tivesse	1
se	1
desenvolvido	1
sem	1
antes	1
investir	1
educação	1
